label,definition,examples,prep,case
161,Квантитатив,"количественная характеристика, мера; обозначение размера путём соотнесения предмета с другим; обозначение частей, компонентов целого; количественный показатель изменения или соотношения признаков; обозначение частей целого, полученных в результате разделения","насчитывалось до 200 куриц, нести до 5 тонн груза, вырасти до 1 млн, морозы до 5 градусов",до,род
162,Потенсив,"наклонность субъекта; потенциальное действие, часто нежелательное","жадный до денег, охоч до песен",до,род
163,Темпоратив,"временной отрезок, в котором происходит действие; расстояние во времени между событиями","закончим до выходных, до самого последнего момента потеряно, до окончания реконструкции, могут быть активными до сих пор",до,род
164,Директив,"направление действия, движения в пределы названного предмета; исходная или финальная точка движения; характеристика перемещения или расположения предмета по отношению к направлению движения; действие при противоборствующем влиянии","выплывать из-за острова, свет из-за сосен, встать из-за стола, доносится из-за печки",из-за,род
165,Каузатор,"причина, основание действия; действие, состояние, вызывающее или изменяющее состояние субъекта","ссориться из-за денег, кутерьма из-за балбеса, потери из-за сопротивления",из-за,род
166,Комитатив,"сопровождающий признак; характеристика сопутствия, наличия; указание на владельца, обладателя признака, предмета, лица; обозначение имени, прозвища, названия, номера","глаза у Пугачёва, бессонница у меня",у,род
167,Локатив,"местоположение предмета, место протекания действия","сидел у моря, аллея у пруда, жить у Тихона",у,род
168,Сурсив,"источник информации, получения предмета, исхождения света, запаха, тепла, вкуса","брать у сестры, спросил у ясеня",у,род
169,Директив,"направление действия, движения в пределы названного предмета; исходная или финальная точка движения; характеристика перемещения или расположения предмета по отношению к направлению движения; действие при противоборствующем влиянии","плыть против течения, идти против ветра, лежать против движения, поступить против обыкновения, лезет против воли",против,род
170,Квалификатив,"оценка, характеристика с точки зрения уподобления одного предмета другому, принадлежности предмета к группе; предмет, относительно которого сравнивается другой предмет; отнесение к классу предметов","беден против твоего, прибавилось против вчерашнего",против,род
171,Локатив,"местоположение предмета, место протекания действия","усевшись против самовара, стояла против окна",против,род
172,Тематив,"тема, повод, предмет речемыслительного акта, эмоционального переживания; сфера, область действия","высказался против сталинизма, заговор против Павла, выступление против власти, взбунтовался против командира",против,род
173,Директив,"направление действия, движения в пределы названного предмета; исходная или финальная точка движения; характеристика перемещения или расположения предмета по отношению к направлению движения; действие при противоборствующем влиянии","полетели за моря, брошусь за окно, поездка за границу",за,вин
174,Каузатор,"причина, основание действия; действие, состояние, вызывающее или изменяющее состояние субъекта","благодарю за дары, мстил за Пушкина, арестован за нападение, грамота за успеваемость",за,вин
175,Квалификатив,"оценка, характеристика с точки зрения уподобления одного предмета другому, принадлежности предмета к группе; предмет, относительно которого сравнивается другой предмет; отнесение к классу предметов","остаться за главного, приняли за новичка",за,вин
176,Квантитатив,"количественная характеристика, мера; обозначение размера путём соотнесения предмета с другим; обозначение частей, компонентов целого; количественный показатель изменения или соотношения признаков; обозначение частей целого, полученных в результате разделения","мужчина за тридцать, уже за полночь, отправили за 200 вёрст",за,вин
177,Объект,непосредственный объект действия,"держаться за гриву, пойти за чиновника, замуж за президента, заступиться за сестру",за,вин
178,Тематив,"тема, повод, предмет речемыслительного акта, эмоционального переживания; сфера, область действия",выступать за улучшение,за,вин
179,Темпоратив,"временной отрезок, в котором происходит действие; расстояние во времени между событиями","впервые за всю историю, за неделю проинспектированы, за 2005 год составили, успел за 5 минут",за,вин
180,Трансгрессив,изменение состояния; обозначение фазы действия,"приняться за дело, уселись за игру, взяться за осуществление",за,вин
181,Директив,"направление действия, движения в пределы названного предмета; исходная или финальная точка движения; характеристика перемещения или расположения предмета по отношению к направлению движения; действие при противоборствующем влиянии","облазил начиная с Коневецкого, смогут начиная с руководителей департаментов",начиная с,род
182,Темпоратив,"временной отрезок, в котором происходит действие; расстояние во времени между событиями","Начиная с сентября заключили, смогут начиная с шестой модели",начиная с,род
183,Квантитатив,"количественная характеристика, мера; обозначение размера путём соотнесения предмета с другим; обозначение частей, компонентов целого; количественный показатель изменения или соотношения признаков; обозначение частей целого, полученных в результате разделения",весом около 10 кг,около,род
184,Локатив,"местоположение предмета, место протекания действия",встал около дуба,около,род
185,Темпоратив,"временной отрезок, в котором происходит действие; расстояние во времени между событиями","провел около 5 часов, вернулась около полуночи",около,род
186,Инструментив,"орудие или средство осуществления действия; средство или способ движения, речемыслительного действия, существования предмета; интерпретация отвлечённого понятия (с глаголами быть, заключаться; понимать, подразумеватьи т.п.)",протрите сквозь сито,сквозь,вин
187,Комитатив,"сопровождающий признак; характеристика сопутствия, наличия; указание на владельца, обладателя признака, предмета, лица; обозначение имени, прозвища, названия, номера","смех сквозь слёзы, услышал сквозь сон",сквозь,вин
188,Локатив,"местоположение предмета, место протекания действия","пробраться сквозь паутину, сидел сквозь тучи, свет сквозь листву",сквозь,вин
189,Квантитатив,"количественная характеристика, мера; обозначение размера путём соотнесения предмета с другим; обозначение частей, компонентов целого; количественный показатель изменения или соотношения признаков; обозначение частей целого, полученных в результате разделения",палка о двух концах,о,предл
190,Тематив,"тема, повод, предмет речемыслительного акта, эмоционального переживания; сфера, область действия","думал о сыне, забота о грибах, песня о Ленине, роман о любви",о,предл
191,Локатив,"местоположение предмета, место протекания действия",облететь вокруг Земли,вокруг,род
192,Тематив,"тема, повод, предмет речемыслительного акта, эмоционального переживания; сфера, область действия",разгореться вокруг контрактов,вокруг,род
